SKU,qty,price
ST179,1,299.25
ST179,15,290.95
ST179,25,274.35
ST179,50,257.70
ST179,75,241.10
ST004,1,287.30
ST004,15,279.30
ST004,25,263.35
ST004,50,247.40
ST004,75,231.45
ST145,1,263.35
ST145,15,256.05
ST145,25,241.40
ST145,50,226.80
ST145,75,212.15
ST176,1,263.35
ST176,15,256.05
ST176,25,241.40
ST176,50,226.80
ST176,75,212.15
ST948,1,239.40
ST948,15,232.75
ST948,25,219.45
ST948,50,206.15
ST948,75,192.85
SI005,1,183.00
SI005,15,177.90
SI005,25,167.75
SI005,50,157.60
SI005,75,147.40
SI004,1,168.75
SI004,15,164.10
SI004,25,154.70
SI004,50,145.35
SI004,75,135.95
ST167,1,160.50
ST167,15,156.05
ST167,25,147.10
ST167,50,138.20
ST167,75,129.30
SI070,1,160.40
SI070,15,155.95
SI070,25,147.05
SI070,50,138.15
SI070,75,129.20
SI006,1,159.25
SI006,15,154.80
SI006,25,145.95
SI006,50,137.10
SI006,75,128.30
SI002,1,154.45
SI002,15,150.15
SI002,25,141.60
SI002,50,133.00
SI002,75,124.45
ST800,1,143.65
ST800,15,139.65
ST800,25,131.70
ST800,50,123.70
ST800,75,115.75
SI034,1,142.60
SI034,15,138.60
SI034,25,130.70
SI034,50,122.80
SI034,75,114.85
OG018,1,138.90
OG018,15,135.05
OG018,25,127.30
OG018,50,119.60
OG018,75,111.90
ST168,1,134.10
ST168,15,130.40
ST168,25,122.95
ST168,50,115.50
ST168,75,108.05
RG087,1,118.95
RG087,15,115.65
RG087,25,109.05
RG087,50,102.45
RG087,75,95.85
ST164,1,131.70
ST164,15,128.05
ST164,25,120.70
ST164,50,113.40
ST164,75,106.10
ST803,1,131.70
ST803,15,128.05
ST803,25,120.70
ST803,50,113.40
ST803,75,106.10
ST804,1,131.70
ST804,15,128.05
ST804,25,120.70
ST804,50,113.40
ST804,75,106.10
ST165,1,119.70
ST165,15,116.40
ST165,25,109.75
ST165,50,103.10
ST165,75,96.45
QD973,1,112.00
QD973,15,108.85
QD973,25,102.65
QD973,50,96.45
QD973,75,90.20
ST143,1,110.20
ST143,15,107.10
ST143,25,101.00
ST143,50,94.90
ST143,75,88.75
ST144,1,110.20
ST144,15,107.10
ST144,25,101.00
ST144,50,94.90
ST144,75,88.75
ST157,1,110.20
ST157,15,107.10
ST157,25,101.00
ST157,50,94.90
ST157,75,88.75
ST169,1,110.20
ST169,15,107.10
ST169,25,101.00
ST169,50,94.90
ST169,75,88.75
CW075,1,107.75
CW075,15,104.75
CW075,25,98.80
CW075,50,92.80
CW075,75,86.80
ST154,1,107.75
ST154,15,104.75
ST154,25,98.80
ST154,50,92.80
ST154,75,86.80
ST162,1,107.75
ST162,15,104.75
ST162,25,98.80
ST162,50,92.80
ST162,75,86.80
ST956,1,103.00
ST956,15,100.10
ST956,25,94.40
ST956,50,88.70
ST956,75,82.95
R400M,1,102.10
R400M,15,99.25
R400M,25,93.60
R400M,50,87.90
R400M,75,82.25
ST785,1,101.80
ST785,15,99.00
ST785,25,93.35
ST785,50,87.70
ST785,75,82.00
520M,1,101.35
520M,15,98.55
520M,25,92.90
520M,50,87.30
520M,75,81.65
YK029,1,100.65
YK029,15,97.85
YK029,25,92.25
YK029,50,86.65
YK029,75,81.10
J018M,1,97.95
J018M,15,95.20
J018M,25,89.80
J018M,50,84.35
J018M,75,78.90
J510M,1,97.95
J510M,15,95.20
J510M,25,89.80
J510M,50,84.35
J510M,75,78.90
CW076,1,95.80
CW076,15,93.10
CW076,25,87.80
CW076,50,82.50
CW076,75,77.15
R400F,1,94.95
R400F,15,92.35
R400F,25,87.05
R400F,50,81.80
R400F,75,76.50
RG081,1,84.95
RG081,15,82.55
RG081,25,77.85
RG081,50,73.15
RG081,75,68.4
R331X,1,93.90
R331X,15,91.30
R331X,25,86.05
R331X,50,80.85
R331X,75,75.65
CW050,1,93.45
CW050,15,90.85
CW050,25,85.65
CW050,50,80.45
CW050,75,75.30
R110A,1,92.65
R110A,15,90.05
R110A,25,84.90
R110A,50,79.75
R110A,75,74.65
J510F,1,92.00
J510F,15,89.45
J510F,25,84.35
J510F,50,79.25
J510F,75,74.10
PW092,1,90.20
PW092,15,87.70
PW092,25,82.70
PW092,50,77.70
PW092,75,72.65
GM010,1,87.40
GM010,15,85.00
GM010,25,80.15
GM010,50,75.30
GM010,75,70.40
GM011,1,87.40
GM011,15,85.00
GM011,25,80.15
GM011,50,75.30
GM011,75,70.40
PW332,1,86.80
PW332,15,84.35
PW332,25,79.55
PW332,50,74.75
PW332,75,69.90
OG002,1,86.25
OG002,15,83.85
OG002,25,79.05
OG002,50,74.25
OG002,75,69.50
ST158,1,86.25
ST158,15,83.85
ST158,25,79.05
ST158,50,74.25
ST158,75,69.50
ST159,1,86.25
ST159,15,83.85
ST159,25,79.05
ST159,50,74.25
ST159,75,69.50
ST805,1,86.25
ST805,15,83.85
ST805,25,79.05
ST805,50,74.25
ST805,75,69.50
ST806,1,86.25
ST806,15,83.85
ST806,25,79.05
ST806,50,74.25
ST806,75,69.50
KB657,1,85.05
KB657,15,82.70
KB657,25,78.00
KB657,50,73.25
KB657,75,68.55
RG068,1,76.5
RG068,15,74.35
RG068,25,70.15
RG068,50,65.9
RG068,75,61.65
CW051,1,83.80
CW051,15,81.50
CW051,25,76.85
CW051,50,72.20
CW051,75,67.50
TRA341,1,74.3
TRA341,15,72.25
TRA341,25,68.15
TRA341,50,64
TRA341,75,59.85
QD904,1,82.45
QD904,15,80.15
QD904,25,75.60
QD904,50,71.00
QD904,75,66.45
QD972,1,82.45
QD972,15,80.15
QD972,25,75.60
QD972,50,71.00
QD972,75,66.45
PW013,1,82.00
PW013,15,79.75
PW013,25,75.20
PW013,50,70.65
PW013,75,66.05
410M,1,81.40
410M,15,79.10
410M,25,74.60
410M,50,70.10
410M,75,65.55
ST802,1,79.05
ST802,15,76.85
ST802,25,72.45
ST802,50,68.05
ST802,75,63.70
RE65A,1,78.30
RE65A,15,76.15
RE65A,25,71.80
RE65A,50,67.45
RE65A,75,63.10
01622,1,77.90
01622,15,75.75
01622,25,71.40
01622,50,67.10
01622,75,62.75
01623,1,77.90
01623,15,75.75
01623,25,71.40
01623,50,67.10
01623,75,62.75
QD975,1,77.80
QD975,15,75.60
QD975,25,71.30
QD975,50,67.00
QD975,75,62.65
01620,1,76.75
01620,15,74.65
01620,25,70.35
01620,50,66.10
01620,75,61.85
01621,1,76.75
01621,15,74.65
01621,25,70.35
01621,50,66.10
01621,75,61.85
PW253,1,76.05
PW253,15,73.95
PW253,25,69.75
PW253,50,65.50
PW253,75,61.30
QD902,1,75.35
QD902,15,73.25
QD902,25,69.10
QD902,50,64.90
QD902,75,60.70
QD970,1,73.00
QD970,15,71.00
QD970,25,66.95
QD970,50,62.90
QD970,75,58.80
ST161,1,71.85
ST161,15,69.85
ST161,25,65.85
ST161,50,61.85
ST161,75,57.90
TRA314,1,63.7
TRA314,15,61.95
TRA314,25,58.4
TRA314,50,54.9
TRA314,75,51.3
TRA625,1,63.7
TRA625,15,61.95
TRA625,25,58.4
TRA625,50,54.9
TRA625,75,51.3
J140M,1,70.75
J140M,15,68.80
J140M,25,64.85
J140M,50,60.95
J140M,75,57.00
RG085,1,63.7
RG085,15,61.95
RG085,25,58.4
RG085,50,54.9
RG085,75,51.3
RG086,1,63.7
RG086,15,61.95
RG086,25,58.4
RG086,50,54.9
RG086,75,51.3
QD925,1,70.65
QD925,15,68.70
QD925,25,64.80
QD925,50,60.85
QD925,75,56.95
J140F,1,70.65
J140F,15,68.70
J140F,25,64.80
J140F,50,60.85
J140F,75,56.95
RG160,1,63.6
RG160,15,61.85
RG160,25,58.35
RG160,50,54.8
RG160,75,51.3
2925,1,70.25
2925,15,68.30
2925,25,64.40
2925,50,60.50
2925,75,56.60
SX056,1,69.70
SX056,15,67.75
SX056,25,63.90
SX056,50,60.00
SX056,75,56.15
SX045,1,69.50
SX045,15,67.55
SX045,25,63.70
SX045,50,59.85
SX045,75,56.00
SX057,1,69.50
SX057,15,67.55
SX057,25,63.70
SX057,50,59.85
SX057,75,56.00
R307M,1,68.85
R307M,15,66.95
R307M,25,63.15
R307M,50,59.30
R307M,75,55.50
QD910,1,68.35
QD910,15,66.45
QD910,25,62.65
QD910,50,58.85
QD910,75,55.05
QX335,1,68.35
QX335,15,66.45
QX335,25,62.65
QX335,50,58.85
QX335,75,55.05
GM081,1,68.35
GM081,15,66.45
GM081,25,62.65
GM081,50,58.85
GM081,75,55.05
RG157,1,61.55
RG157,15,59.85
RG157,25,56.4
RG157,50,53
RG157,75,49.55
SX071,1,67.70
SX071,15,65.80
SX071,25,62.05
SX071,50,58.30
SX071,75,54.55
YK040,1,67.05
YK040,15,65.20
YK040,25,61.50
YK040,50,57.75
YK040,75,54.05
R307F,1,66.45
R307F,15,64.60
R307F,25,60.90
R307F,50,57.20
R307F,75,53.55
RG042,1,59.5
RG042,15,57.85
RG042,25,54.55
RG042,50,51.25
RG042,75,47.95
RG043,1,59.5
RG043,15,57.85
RG043,25,54.55
RG043,50,51.25
RG043,75,47.95
QX530,1,66.00
QX530,15,64.15
QX530,25,60.50
QX530,50,56.85
QX530,75,53.15
ST175,1,65.90
ST175,15,64.05
ST175,25,60.40
ST175,50,56.75
ST175,75,53.10
ST185,1,65.90
ST185,15,64.05
ST185,25,60.40
ST185,50,56.75
ST185,75,53.10
PW325,1,65.35
PW325,15,63.55
PW325,25,59.90
PW325,50,56.30
PW325,75,52.65
J141F,1,64.80
J141F,15,63.00
J141F,25,59.40
J141F,50,55.80
J141F,75,52.20
J141M,1,64.80
J141M,15,63.00
J141M,25,59.40
J141M,50,55.80
J141M,75,52.20
YK011,1,64.75
YK011,15,62.95
YK011,25,59.35
YK011,50,55.75
YK011,75,52.15
